EmpID,MarriedID,MaritalStatusID,GenderID,EmpStatusID,DeptID,PerfScoreID,FromDiversityJobFairID,Salary,Termd,PositionID,Position,DateofHire,DateofTermination,TermReason,EmploymentStatus,Department,RecruitmentSource,PerformanceScore,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,LastPerformanceReview_Date,DaysLateLast30,Absences,exit_interview_feedback,satisfaction_survey_comment,internal_transfer_request,SalaryBand
EMP_0012,0,2,1,1,3,4,1,92328,0,9,Data Analyst,11/10/2014,,N/A-StillEmployed,Active,IT/IS,Diversity Job Fair,Exceeds,4.28,4,5,2/25/2019,0,9,N/A,Things are generally fine but there's room to improve communication between teams.,N/A,80-120k
EMP_0013,0,0,1,1,5,3,0,58709,0,19,Production Technician I,2/20/2012,,N/A-StillEmployed,Active,Production       ,Google Search,Fully Meets,4.6,4,0,2/14/2019,0,7,N/A,Good balance between autonomy and collaboration. Happy here.,"After 11.9 years in Production, I would like to explore opportunities in a different department to broaden my skills.",55-65k
EMP_0014,0,2,1,5,5,3,0,52505,1,19,Production Technician I,9/24/2012,4/6/2017,Another position,Voluntarily Terminated,Production       ,On-line Web application,Fully Meets,5.0,5,0,3/2/2017,0,1,A new opportunity came up that I couldn't pass on. No hard feelings.,I feel supported by my manager and the team culture is genuinely positive.,N/A,<55k
EMP_0015,0,0,1,4,5,3,0,57834,1,19,Production Technician I,2/21/2011,8/4/2017,attendance,Terminated for Cause,Production       ,Google Search,Fully Meets,5.0,4,0,4/5/2017,0,20,There were ongoing scheduling issues that we couldn't resolve despite several conversations.,Good balance between autonomy and collaboration. Happy here.,N/A,55-65k
EMP_0016,1,1,0,2,5,4,0,70131,0,20,Production Technician II,7/21/2016,,N/A-StillEmployed,Active,Production       ,Employee Referral,Exceeds,4.4,3,0,1/14/2019,0,16,N/A,"I enjoy the work most of the time, though the workload can get heavy.","After 7.5 years in Production, I would like to explore opportunities in a different department to broaden my skills.",65-80k
EMP_0017,0,0,0,1,5,3,0,59026,0,19,Production Technician I,4/4/2011,,N/A-StillEmployed,Active,Production       ,Google Search,Fully Meets,5.0,5,0,1/14/2019,0,12,N/A,I feel supported by my manager and the team culture is genuinely positive.,"I'm committed to this company, but a lateral move would help me grow and bring fresh energy to my work.",55-65k
EMP_0018,0,0,0,4,3,3,0,110000,1,8,Database Administrator,7/7/2014,9/12/2015,performance,Terminated for Cause,IT/IS,Google Search,Fully Meets,4.5,4,5,1/15/2015,0,8,I wasn't given enough support early on and things snowballed from there.,The work is meaningful and I feel my contributions are valued.,N/A,80-120k
EMP_0019,0,0,1,3,5,3,0,53250,0,19,Production Technician I,7/8/2013,,N/A-StillEmployed,Active,Production       ,LinkedIn,Fully Meets,4.2,4,0,1/11/2019,0,13,N/A,"I enjoy the work most of the time, though the workload can get heavy.","After 10.5 years in Production, I would like to explore opportunities in a different department to broaden my skills.",<55k
EMP_0020,0,0,1,1,5,3,0,51044,0,19,Production Technician I,4/2/2012,,N/A-StillEmployed,Active,Production       ,Google Search,Fully Meets,5.0,3,0,1/14/2019,0,13,N/A,I feel supported by my manager and the team culture is genuinely positive.,I've contributed as much as I can in my current role and would welcome a chance to bring my experience to a new team.,<55k
EMP_0021,0,2,0,1,5,3,0,64919,0,19,Production Technician I,8/19/2013,,N/A-StillEmployed,Active,Production       ,Indeed,Fully Meets,4.2,3,0,1/10/2019,0,2,N/A,Things are generally fine but there's room to improve communication between teams.,"After 10.4 years in Production, I would like to explore opportunities in a different department to broaden my skills.",55-65k
EMP_0022,1,1,0,1,5,4,0,62910,0,19,Production Technician I,7/7/2014,,N/A-StillEmployed,Active,Production       ,Indeed,Exceeds,5.0,3,0,2/27/2019,0,19,N/A,The work is meaningful and I feel my contributions are valued.,"After 9.5 years in Production, I would like to explore opportunities in a different department to broaden my skills.",55-65k
EMP_0023,0,0,0,1,5,2,0,66441,0,20,Production Technician II,4/4/2011,,N/A-StillEmployed,Active,Production       ,CareerBuilder,Needs Improvement,2.0,3,0,2/27/2019,2,3,N/A,Workload is unmanageable and I feel completely burnt out.,I've contributed as much as I can in my current role and would welcome a chance to bring my experience to a new team.,65-80k
EMP_0024,0,0,0,5,5,3,0,57815,1,20,Production Technician II,1/10/2011,4/4/2014,career change,Voluntarily Terminated,Production       ,Google Search,Fully Meets,4.8,5,0,3/4/2014,0,5,I felt I'd reached a ceiling in this role. I needed a new direction professionally.,I feel supported by my manager and the team culture is genuinely positive.,N/A,55-65k
EMP_0025,0,0,1,4,3,3,0,103613,1,30,Enterprise Architect,2/17/2014,2/19/2016,Learned that he is a gangster,Terminated for Cause,IT/IS,LinkedIn,Fully Meets,3.5,5,7,1/10/2016,0,2,A new opportunity came up that I couldn't pass on. No hard feelings.,Decent place to work. I'd appreciate more clarity on career development paths.,N/A,80-120k
EMP_0026,1,1,0,1,1,3,1,106367,0,26,Sr. Accountant,2/16/2015,,N/A-StillEmployed,Active,Admin Offices,Diversity Job Fair,Fully Meets,5.0,4,3,2/18/2019,0,4,N/A,I feel supported by my manager and the team culture is genuinely positive.,N/A,80-120k
EMP_0027,0,0,1,5,5,3,0,74312,1,18,Production Manager,9/30/2013,8/7/2014,retiring,Voluntarily Terminated,Production       ,Indeed,Fully Meets,3.39,3,0,2/20/2014,0,14,A new opportunity came up that I couldn't pass on. No hard feelings.,Recognition is inconsistent — hard to feel motivated when effort goes unnoticed.,N/A,65-80k
EMP_0028,1,1,0,5,5,3,0,53492,1,19,Production Technician I,4/2/2012,6/15/2013,Another position,Voluntarily Terminated,Production       ,Google Search,Fully Meets,3.35,4,0,3/4/2013,0,6,A new opportunity came up that I couldn't pass on. No hard feelings.,I've been feeling disconnected from the team.,N/A,<55k
EMP_0029,1,1,0,1,1,3,1,63000,0,1,Accountant I,10/27/2008,,N/A-StillEmployed,Active,Admin Offices,Diversity Job Fair,Fully Meets,4.5,2,6,1/15/2019,0,14,N/A,I don't feel heard. Feedback goes nowhere and nothing changes.,N/A,55-65k
EMP_0030,0,0,1,1,5,3,0,65288,0,20,Production Technician II,9/29/2014,,N/A-StillEmployed,Active,Production       ,Google Search,Fully Meets,3.19,3,0,2/1/2019,0,9,N/A,The environment has become stressful and I don't feel my concerns are heard.,"I'm committed to this company, but a lateral move would help me grow and bring fresh energy to my work.",65-80k
EMP_0031,0,3,0,3,5,3,1,64375,0,19,Production Technician I,11/11/2013,,N/A-StillEmployed,Active,Production       ,Diversity Job Fair,Fully Meets,3.5,5,0,1/21/2019,0,17,N/A,Things are generally fine but there's room to improve communication between teams.,"I'm committed to this company, but a lateral move would help me grow and bring fresh energy to my work.",55-65k
EMP_0032,1,1,0,5,6,3,0,74326,1,3,Area Sales Manager,8/15/2011,8/2/2014,Another position,Voluntarily Terminated,Sales,Google Search,Fully Meets,3.14,5,0,2/10/2013,1,19,It was the right time for me to move on. Good memories here.,Recognition is inconsistent — hard to feel motivated when effort goes unnoticed.,N/A,65-80k
EMP_0033,0,0,0,1,5,3,0,63763,0,20,Production Technician II,3/5/2012,,N/A-StillEmployed,Active,Production       ,Employee Referral,Fully Meets,4.51,4,0,2/21/2019,0,3,N/A,Good balance between autonomy and collaboration. Happy here.,"After 11.8 years in Production, I would like to explore opportunities in a different department to broaden my skills.",55-65k
EMP_0034,1,1,1,1,5,3,0,62162,0,20,Production Technician II,4/4/2011,,N/A-StillEmployed,Active,Production       ,Indeed,Fully Meets,3.25,5,0,1/14/2019,0,15,N/A,The environment has become stressful and I don't feel my concerns are heard.,"After 12.8 years in Production, I would like to explore opportunities in a different department to broaden my skills.",55-65k
EMP_0035,0,0,1,1,4,3,0,77692,0,25,Software Engineering Manager,8/15/2011,,N/A-StillEmployed,Active,Software Engineering,Google Search,Fully Meets,3.84,3,5,1/21/2019,0,4,N/A,Things are generally fine but there's room to improve communication between teams.,N/A,65-80k
EMP_0036,0,0,1,1,5,4,0,72640,0,18,Production Manager,1/28/2016,,N/A-StillEmployed,Active,Production       ,Indeed,Exceeds,5.0,3,0,2/22/2019,0,14,N/A,I feel supported by my manager and the team culture is genuinely positive.,I've contributed as much as I can in my current role and would welcome a chance to bring my experience to a new team.,65-80k
EMP_0037,0,0,0,1,4,3,0,93396,0,24,Software Engineer,11/11/2013,,N/A-StillEmployed,Active,Software Engineering,Indeed,Fully Meets,4.96,4,6,1/30/2019,0,3,N/A,The work is meaningful and I feel my contributions are valued.,N/A,80-120k
EMP_0038,0,0,1,1,5,3,0,52846,0,19,Production Technician I,3/31/2014,,N/A-StillEmployed,Active,Production       ,LinkedIn,Fully Meets,4.43,3,0,2/1/2019,0,14,N/A,"I enjoy the work most of the time, though the workload can get heavy.","I'm committed to this company, but a lateral move would help me grow and bring fresh energy to my work.",<55k
EMP_0039,0,0,0,2,3,3,0,100031,0,27,Sr. DBA,6/30/2016,,N/A-StillEmployed,Active,IT/IS,LinkedIn,Fully Meets,5.0,5,6,2/18/2019,0,7,N/A,The work is meaningful and I feel my contributions are valued.,N/A,80-120k
EMP_0040,0,0,0,1,6,3,0,71860,0,3,Area Sales Manager,8/18/2014,,N/A-StillEmployed,Active,Sales,Indeed,Fully Meets,5.0,5,0,1/21/2019,0,7,N/A,I feel supported by my manager and the team culture is genuinely positive.,I've contributed as much as I can in my current role and would welcome a chance to bring my experience to a new team.,65-80k
EMP_0041,0,0,0,1,5,3,0,61656,0,19,Production Technician I,9/29/2014,,N/A-StillEmployed,Active,Production       ,Google Search,Fully Meets,5.0,4,0,2/12/2019,0,11,N/A,The work is meaningful and I feel my contributions are valued.,"After 9.3 years in Production, I would like to explore opportunities in a different department to broaden my skills.",55-65k
EMP_0042,1,1,1,1,3,3,0,110929,0,5,BI Director,9/6/2016,,N/A-StillEmployed,Active,IT/IS,Indeed,Fully Meets,4.5,5,7,1/15/2019,0,8,N/A,Good balance between autonomy and collaboration. Happy here.,N/A,80-120k
EMP_0043,0,0,0,1,5,3,0,54237,0,19,Production Technician I,5/12/2014,,N/A-StillEmployed,Active,Production       ,Indeed,Fully Meets,3.3,4,0,2/19/2019,0,11,N/A,The environment has become stressful and I don't feel my concerns are heard.,"I'm committed to this company, but a lateral move would help me grow and bring fresh energy to my work.",<55k
EMP_0044,0,0,1,1,5,3,0,60380,0,19,Production Technician I,7/8/2013,,N/A-StillEmployed,Active,Production       ,LinkedIn,Fully Meets,3.8,5,0,1/14/2019,0,4,N/A,Decent place to work. I'd appreciate more clarity on career development paths.,"I'm committed to this company, but a lateral move would help me grow and bring fresh energy to my work.",55-65k
EMP_0045,0,0,1,1,6,3,0,66808,0,3,Area Sales Manager,5/14/2012,,N/A-StillEmployed,Active,Sales,Employee Referral,Fully Meets,3.0,5,0,1/19/2019,0,17,N/A,Recognition is inconsistent — hard to feel motivated when effort goes unnoticed.,"I'm committed to this company, but a lateral move would help me grow and bring fresh energy to my work.",65-80k
EMP_0046,0,0,0,5,5,3,0,64786,1,19,Production Technician I,6/27/2011,11/15/2015,relocation out of area,Voluntarily Terminated,Production       ,Indeed,Fully Meets,4.3,4,0,3/10/2015,0,3,My family is relocating — purely personal. I'm actually sad to leave.,Decent place to work. I'd appreciate more clarity on career development paths.,N/A,55-65k
EMP_0047,0,0,0,1,5,3,0,64816,0,19,Production Technician I,10/3/2011,,N/A-StillEmployed,Active,Production       ,Indeed,Fully Meets,3.58,5,0,1/30/2019,0,3,N/A,Decent place to work. I'd appreciate more clarity on career development paths.,"After 12.3 years in Production, I would like to explore opportunities in a different department to broaden my skills.",55-65k
EMP_0048,0,0,1,1,3,3,0,68678,0,14,IT Support,9/5/2012,,N/A-StillEmployed,Active,IT/IS,Indeed,Fully Meets,4.7,3,6,2/27/2019,0,2,N/A,I feel supported by my manager and the team culture is genuinely positive.,N/A,65-80k
EMP_0049,1,1,0,5,5,3,0,64066,1,20,Production Technician II,5/16/2011,1/7/2013,unhappy,Voluntarily Terminated,Production       ,Google Search,Fully Meets,4.2,5,0,5/3/2012,0,9,"I had been feeling disengaged for a while — the culture, the workload, and a sense that my growth had stalled.","I enjoy the work most of the time, though the workload can get heavy.",N/A,55-65k
EMP_0050,1,1,1,5,5,3,0,59369,1,20,Production Technician II,8/30/2010,9/26/2011,career change,Voluntarily Terminated,Production       ,Indeed,Fully Meets,4.2,4,0,5/4/2011,0,6,I felt I'd reached a ceiling in this role. I needed a new direction professionally.,Decent place to work. I'd appreciate more clarity on career development paths.,N/A,55-65k
EMP_0051,1,1,1,2,5,4,0,50373,0,19,Production Technician I,7/6/2016,,N/A-StillEmployed,Active,Production       ,Employee Referral,Exceeds,4.1,4,0,2/28/2019,0,5,N/A,Decent place to work. I'd appreciate more clarity on career development paths.,"I'm committed to this company, but a lateral move would help me grow and bring fresh energy to my work.",<55k
EMP_0052,0,0,1,1,5,3,0,63108,0,19,Production Technician I,7/8/2013,,N/A-StillEmployed,Active,Production       ,Employee Referral,Fully Meets,4.4,5,0,1/14/2019,0,3,N/A,Things are generally fine but there's room to improve communication between teams.,"I'm committed to this company, but a lateral move would help me grow and bring fresh energy to my work.",55-65k
EMP_0053,0,0,1,4,5,2,0,59144,1,19,Production Technician I,7/11/2011,9/23/2016,performance,Terminated for Cause,Production       ,LinkedIn,Needs Improvement,2.0,3,0,5/1/2016,5,16,I wasn't given enough support early on and things snowballed from there.,Morale is low and I'm struggling to see a future here.,N/A,55-65k
EMP_0054,0,2,1,1,5,2,0,68051,0,18,Production Manager,7/20/2010,,N/A-StillEmployed,Active,Production       ,CareerBuilder,Needs Improvement,4.13,2,0,1/14/2019,3,3,N/A,Morale is low and I'm struggling to see a future here.,"After 13.5 years in Production, I would like to explore opportunities in a different department to broaden my skills.",65-80k
EMP_0055,0,0,1,1,5,4,0,170500,0,10,Director of Operations,1/5/2009,,N/A-StillEmployed,Active,Production       ,Indeed,Exceeds,3.7,5,0,2/4/2019,0,15,N/A,"I enjoy the work most of the time, though the workload can get heavy.",I've contributed as much as I can in my current role and would welcome a chance to bring my experience to a new team.,>120k
EMP_0056,1,1,0,1,5,3,0,63381,0,19,Production Technician I,1/5/2015,,N/A-StillEmployed,Active,Production       ,Indeed,Fully Meets,4.73,5,0,2/14/2019,0,6,N/A,The work is meaningful and I feel my contributions are valued.,"After 9.0 years in Production, I would like to explore opportunities in a different department to broaden my skills.",55-65k
EMP_0057,1,1,1,1,3,3,0,83552,0,9,Data Analyst,3/30/2015,,N/A-StillEmployed,Active,IT/IS,Indeed,Fully Meets,3.04,3,6,1/22/2019,0,2,N/A,Recognition is inconsistent — hard to feel motivated when effort goes unnoticed.,N/A,80-120k
EMP_0058,0,0,0,2,5,3,0,56149,0,19,Production Technician I,7/6/2016,,N/A-StillEmployed,Active,Production       ,LinkedIn,Fully Meets,4.12,5,0,1/28/2019,0,15,N/A,Decent place to work. I'd appreciate more clarity on career development paths.,"I'm committed to this company, but a lateral move would help me grow and bring fresh energy to my work.",55-65k
EMP_0059,0,0,1,1,3,3,0,92329,0,28,Sr. Network Engineer,11/10/2014,,N/A-StillEmployed,Active,IT/IS,Employee Referral,Fully Meets,5.0,3,4,1/2/2019,0,5,N/A,The work is meaningful and I feel my contributions are valued.,N/A,80-120k
EMP_0060,0,0,0,1,6,3,0,65729,0,21,Sales Manager,5/5/2014,,N/A-StillEmployed,Active,Sales,Indeed,Fully Meets,4.62,4,0,1/24/2019,0,8,N/A,I feel supported by my manager and the team culture is genuinely positive.,"I'm committed to this company, but a lateral move would help me grow and bring fresh energy to my work.",65-80k
EMP_0061,1,1,0,3,3,3,0,85028,0,28,Sr. Network Engineer,11/10/2014,,N/A-StillEmployed,Active,IT/IS,LinkedIn,Fully Meets,3.1,5,8,2/12/2019,0,19,N/A,The environment has become stressful and I don't feel my concerns are heard.,N/A,80-120k
EMP_0062,1,1,0,1,5,3,0,57583,0,19,Production Technician I,7/2/2012,,N/A-StillEmployed,Active,Production       ,Indeed,Fully Meets,5.0,3,0,2/25/2019,0,1,N/A,The work is meaningful and I feel my contributions are valued.,"I'm committed to this company, but a lateral move would help me grow and bring fresh energy to my work.",55-65k
EMP_0063,0,0,1,1,5,3,0,56294,0,20,Production Technician II,11/7/2011,,N/A-StillEmployed,Active,Production       ,LinkedIn,Fully Meets,3.96,4,0,2/27/2019,0,6,N/A,"I enjoy the work most of the time, though the workload can get heavy.","After 12.2 years in Production, I would like to explore opportunities in a different department to broaden my skills.",55-65k
EMP_0064,1,1,1,1,6,1,0,56991,0,19,Production Technician I,7/9/2018,,N/A-StillEmployed,Active,Production       ,Indeed,Fully Meets,4.3,4,3,1/31/2019,2,2,N/A,"I enjoy the work most of the time, though the workload can get heavy.",N/A,55-65k
EMP_0065,1,1,1,5,5,3,0,55722,1,19,Production Technician I,5/16/2011,6/8/2016,unhappy,Voluntarily Terminated,Production       ,Indeed,Fully Meets,5.0,4,0,4/2/2016,0,14,"Honestly, the work environment changed a lot. I lost motivation and felt my contributions weren't being recognized.",I feel supported by my manager and the team culture is genuinely positive.,N/A,55-65k
EMP_0066,0,0,0,1,4,3,0,101199,0,24,Software Engineer,1/9/2012,,N/A-StillEmployed,Active,Software Engineering,CareerBuilder,Fully Meets,3.79,5,5,1/25/2019,0,8,N/A,Decent place to work. I'd appreciate more clarity on career development paths.,N/A,80-120k
EMP_0067,0,0,1,1,6,1,0,61568,0,3,Area Sales Manager,9/29/2014,,N/A-StillEmployed,Active,Sales,Indeed,PIP,1.93,3,0,1/30/2019,6,5,N/A,I don't feel heard. Feedback goes nowhere and nothing changes.,"I'm committed to this company, but a lateral move would help me grow and bring fresh energy to my work.",55-65k
EMP_0068,0,3,0,5,5,3,0,58275,1,20,Production Technician II,4/4/2011,11/4/2015,more money,Voluntarily Terminated,Production       ,Google Search,Fully Meets,4.62,5,0,5/6/2015,0,1,My main reason for leaving was financial — the salary just wasn't keeping pace with the market.,Good balance between autonomy and collaboration. Happy here.,N/A,55-65k
EMP_0069,1,1,1,1,5,1,0,53189,0,19,Production Technician I,7/7/2014,,N/A-StillEmployed,Active,Production       ,Indeed,PIP,1.12,2,0,1/31/2019,4,9,N/A,I don't feel heard. Feedback goes nowhere and nothing changes.,I've contributed as much as I can in my current role and would welcome a chance to bring my experience to a new team.,<55k
EMP_0070,0,0,1,1,3,3,0,96820,0,4,BI Developer,2/15/2017,,N/A-StillEmployed,Active,IT/IS,Indeed,Fully Meets,3.01,5,7,1/23/2019,0,15,N/A,I've been feeling disconnected from the team.,N/A,80-120k
EMP_0071,0,0,1,1,5,3,0,51259,0,19,Production Technician I,5/12/2014,,N/A-StillEmployed,Active,Production       ,Indeed,Fully Meets,4.3,4,0,2/19/2019,0,1,N/A,"I enjoy the work most of the time, though the workload can get heavy.",I've contributed as much as I can in my current role and would welcome a chance to bring my experience to a new team.,<55k
EMP_0072,0,0,0,1,6,1,0,59231,0,3,Area Sales Manager,2/20/2012,,N/A-StillEmployed,Active,Sales,Website,PIP,2.3,1,0,1/29/2019,2,17,N/A,Morale is low and I'm struggling to see a future here.,"After 11.9 years in Sales, I would like to explore opportunities in a different department to broaden my skills.",55-65k
EMP_0073,1,1,0,1,5,2,0,61584,0,19,Production Technician I,1/7/2013,,N/A-StillEmployed,Active,Production       ,Indeed,Needs Improvement,3.88,4,0,1/18/2019,0,6,N/A,Decent place to work. I'd appreciate more clarity on career development paths.,I've contributed as much as I can in my current role and would welcome a chance to bring my experience to a new team.,55-65k
EMP_0074,0,0,0,1,5,3,0,46335,0,19,Production Technician I,4/2/2012,,N/A-StillEmployed,Active,Production       ,CareerBuilder,Fully Meets,3.4,5,0,2/19/2019,0,15,N/A,Recognition is inconsistent — hard to feel motivated when effort goes unnoticed.,"After 11.8 years in Production, I would like to explore opportunities in a different department to broaden my skills.",<55k
EMP_0075,1,1,0,1,3,3,0,70621,0,14,IT Support,1/5/2015,,N/A-StillEmployed,Active,IT/IS,Employee Referral,Fully Meets,4.11,4,6,2/25/2019,0,16,N/A,Things are generally fine but there's room to improve communication between teams.,N/A,65-80k
EMP_0076,0,0,1,1,3,4,0,138888,0,13,IT Manager - Support,1/5/2014,,N/A-StillEmployed,Active,IT/IS,Indeed,Exceeds,4.3,5,5,1/4/2019,0,4,N/A,Things are generally fine but there's room to improve communication between teams.,N/A,>120k
EMP_0077,0,0,0,1,6,4,0,74241,0,3,Area Sales Manager,1/10/2011,,N/A-StillEmployed,Active,Sales,Indeed,Exceeds,4.77,5,0,1/27/2019,0,14,N/A,Good balance between autonomy and collaboration. Happy here.,"After 13.0 years in Sales, I would like to explore opportunities in a different department to broaden my skills.",65-80k
EMP_0078,0,0,0,1,5,3,0,75188,0,18,Production Manager,9/18/2014,,N/A-StillEmployed,Active,Production       ,Google Search,Fully Meets,4.52,4,0,1/15/2019,0,4,N/A,Good balance between autonomy and collaboration. Happy here.,I've contributed as much as I can in my current role and would welcome a chance to bring my experience to a new team.,65-80k
EMP_0079,1,1,0,1,5,3,0,62514,0,19,Production Technician I,4/26/2010,,N/A-StillEmployed,Active,Production       ,Google Search,Fully Meets,2.9,3,0,1/21/2019,0,6,N/A,I've been feeling disconnected from the team.,"After 13.7 years in Production, I would like to explore opportunities in a different department to broaden my skills.",55-65k
EMP_0080,1,1,0,5,5,3,0,60070,1,19,Production Technician I,4/4/2011,6/6/2017,military,Voluntarily Terminated,Production       ,Google Search,Fully Meets,5.0,3,0,4/9/2017,0,7,A new opportunity came up that I couldn't pass on. No hard feelings.,The work is meaningful and I feel my contributions are valued.,N/A,55-65k
EMP_0081,0,0,1,1,5,3,0,48888,0,19,Production Technician I,11/10/2014,,N/A-StillEmployed,Active,Production       ,LinkedIn,Fully Meets,4.7,5,0,2/13/2019,0,8,N/A,Good balance between autonomy and collaboration. Happy here.,I've contributed as much as I can in my current role and would welcome a chance to bring my experience to a new team.,<55k
EMP_0082,1,1,1,1,5,3,0,54285,0,19,Production Technician I,3/31/2014,,N/A-StillEmployed,Active,Production       ,Employee Referral,Fully Meets,4.2,3,0,1/11/2019,0,3,N/A,Decent place to work. I'd appreciate more clarity on career development paths.,I've contributed as much as I can in my current role and would welcome a chance to bring my experience to a new team.,<55k
EMP_0083,0,3,0,1,5,1,0,56847,0,20,Production Technician II,7/7/2014,,N/A-StillEmployed,Active,Production       ,Indeed,PIP,3.0,1,0,2/25/2019,2,5,N/A,I don't feel heard. Feedback goes nowhere and nothing changes.,"After 9.5 years in Production, I would like to explore opportunities in a different department to broaden my skills.",55-65k
EMP_0084,0,0,1,4,5,2,0,60340,1,19,Production Technician I,4/2/2012,9/27/2018,attendance,Terminated for Cause,Production       ,Google Search,Needs Improvement,5.0,4,0,4/12/2018,5,16,Personal circumstances made it hard to maintain the attendance the role required.,Good balance between autonomy and collaboration. Happy here.,N/A,55-65k
EMP_0085,0,0,0,4,5,2,0,59124,1,19,Production Technician I,2/17/2014,2/25/2018,"no-call, no-show",Terminated for Cause,Production       ,Google Search,Needs Improvement,2.3,3,0,1/15/2017,5,19,A new opportunity came up that I couldn't pass on. No hard feelings.,I don't feel heard. Feedback goes nowhere and nothing changes.,N/A,55-65k
EMP_0086,1,1,0,4,4,2,0,99280,1,24,Software Engineer,5/2/2011,6/5/2013,attendance,Terminated for Cause,Software Engineering,Indeed,Needs Improvement,2.1,5,4,8/10/2012,4,19,There were ongoing scheduling issues that we couldn't resolve despite several conversations.,Morale is low and I'm struggling to see a future here.,N/A,80-120k
EMP_0087,1,1,0,1,5,3,0,71776,0,20,Production Technician II,7/7/2014,,N/A-StillEmployed,Active,Production       ,LinkedIn,Fully Meets,4.4,5,0,2/22/2019,0,17,N/A,"I enjoy the work most of the time, though the workload can get heavy.",I've contributed as much as I can in my current role and would welcome a chance to bring my experience to a new team.,65-80k
